ID_Segmento_Comp,Segmento_Comp_Cve,SEGMENTO ALTERNO,Segmento_Comp_orden
0,|,SIN DEFINIR,9999.999
1,COMCOR,COMPLEMENTARIES CORTESIAS     ,9999.999
2,COMFAM,COMPLEMENTARIES TRIPS         ,9999.999
3,COMSIT,COMPLEMENTARIES INSPECTIONS   ,9999.999
4,COMUSO,COMPLEMENTARIES USO CASA      ,9999.999
5,ECOODO,ECOMMERCE OTA DOMESTIC        ,9999.999
6,ECOOIN,ECOMMERCE OTA INTERNATIONALS  ,9999.999
7,ECOSOC,ECOMMERCE SOCIALS CLUB        ,9999.999
8,ECOWEB,ECOMMERCE WEBSITE             ,9999.999
9,GROFAI,GRO. & CONV. CONGRESSES       ,9999.999
10,GROINC,GRO. & CONV. INCENTIVE SOC.   ,9999.999
11,GROLER,GRO. & CONV. LEISURE RELIGIO  ,9999.999
12,GROMEE,GRO. & CONV. MEETINGS         ,9999.999
13,INDBUS,INDIVIDUAL BUSINESS/LOYALTY   ,9999.999
14,INDEPV,INDIVIDUAL  EP/VAC. CLUB      ,9999.999
15,INDINC,INDIVIDUAL INCENTIVE/SOCIALS  ,9999.999
16,INDLEP,INDIVIDUAL LEISURE/PACKAGE    ,9999.999
17,TOUTOD,TOUR OPERATORS DOMESTIC       ,9999.999
18,TOUTOI,TOUR OPERATORS INTERNATIONALS ,9999.999
19,TOUTOR,TOUR OPERATORS REGIONAL       ,9999.999
20,TOUTTS,TOUR OPERATORS SERIES         ,9999.999
